"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Dec 10 19:42:23 GMT 2022","Sat Dec 10 19:42:24 GMT 2022","710","","test_api","","","","test_get_list_users",""
"passed","Sat Dec 10 19:42:27 GMT 2022","Sat Dec 10 19:42:27 GMT 2022","435","","test_api","","","","test_login_successful",""
"passed","Sat Dec 10 19:42:26 GMT 2022","Sat Dec 10 19:42:26 GMT 2022","407","","test_api","","","","test_delete_user",""
"passed","Sat Dec 10 19:42:24 GMT 2022","Sat Dec 10 19:42:25 GMT 2022","429","","test_api","","","","test_get_single_user_not_found",""
"passed","Sat Dec 10 19:42:24 GMT 2022","Sat Dec 10 19:42:24 GMT 2022","437","","test_api","","","","test_get_single_user",""
"passed","Sat Dec 10 19:42:27 GMT 2022","Sat Dec 10 19:42:28 GMT 2022","412","","test_api","","","","test_login_unsuccessful",""
"passed","Sat Dec 10 19:42:25 GMT 2022","Sat Dec 10 19:42:26 GMT 2022","440","","test_api","","","","test_update_user",""
"passed","Sat Dec 10 19:42:25 GMT 2022","Sat Dec 10 19:42:25 GMT 2022","431","","test_api","","","","test_post_create",""
"passed","Sat Dec 10 19:42:26 GMT 2022","Sat Dec 10 19:42:26 GMT 2022","415","","test_api","","","","test_register_successful",""
"passed","Sat Dec 10 19:42:26 GMT 2022","Sat Dec 10 19:42:27 GMT 2022","452","","test_api","","","","test_register_unsuccessful",""
